"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2020","146.59","146.59","146.59","146.59","","0.01%"
"12/08/2020","146.57","146.57","146.57","146.57","","-0.12%"
"12/07/2020","146.75","146.75","146.75","146.75","","-0.92%"
"12/04/2020","148.12","148.12","148.12","148.12","","0.93%"
"12/03/2020","146.76","146.76","146.76","146.76","","0.37%"
"12/02/2020","146.22","146.22","146.22","146.22","","1.27%"
"12/01/2020","144.39","144.39","144.39","144.39","","-0.56%"
"11/30/2020","145.20","145.20","145.20","145.20","","1.33%"
"11/27/2020","143.30","143.30","143.30","143.30","","-0.47%"
"11/26/2020","143.98","143.98","143.98","143.98","","0.03%"
"11/25/2020","143.93","143.93","143.93","143.93","","0.66%"
"11/24/2020","142.98","142.98","142.98","142.98","","-0.54%"
"11/23/2020","143.75","143.75","143.75","143.75","","0.02%"
"11/20/2020","143.72","143.72","143.72","143.72","","0.94%"
"11/19/2020","142.38","142.38","142.38","142.38","","-1.18%"
"11/18/2020","144.08","144.08","144.08","144.08","","-0.30%"
"11/17/2020","144.51","144.51","144.51","144.51","","0.03%"
"11/16/2020","144.47","144.47","144.47","144.47","","0.38%"
"11/13/2020","143.93","143.93","143.93","143.93","","0.44%"
"11/12/2020","143.30","143.30","143.30","143.30","","-0.56%"
"11/11/2020","144.10","144.10","144.10","144.10","","2.26%"
"11/10/2020","140.91","140.91","140.91","140.91","","0.83%"
"11/09/2020","139.75","139.75","139.75","139.75","","-1.11%"
"11/06/2020","141.32","141.32","141.32","141.32","","0.30%"
"11/05/2020","140.90","140.90","140.90","140.90","","0.51%"
"11/04/2020","140.19","140.19","140.19","140.19","","-0.28%"
"11/03/2020","140.58","140.58","140.58","140.58","","-0.13%"
"11/02/2020","140.76","140.76","140.76","140.76","","0.51%"
"10/30/2020","140.04","140.04","140.04","140.04","","0.29%"
"10/29/2020","139.64","139.64","139.64","139.64","","-0.17%"
"10/28/2020","139.88","139.88","139.88","139.88","","-0.08%"
"10/27/2020","139.99","139.99","139.99","139.99","","0.14%"
"10/26/2020","139.80","139.80","139.80","139.80","","-1.00%"
"10/23/2020","141.21","141.21","141.21","141.21","","0.35%"
"10/22/2020","140.72","140.72","140.72","140.72","","0.67%"
"10/21/2020","139.79","139.79","139.79","139.79","","0.06%"
"10/19/2020","139.70","139.70","139.70","139.70","","0.04%"
"10/16/2020","139.65","139.65","139.65","139.65","","0.00%"
"10/15/2020","139.65","139.65","139.65","139.65","","-0.06%"
"10/14/2020","139.74","139.74","139.74","139.74","","-0.16%"
"10/13/2020","139.97","139.97","139.97","139.97","","-0.12%"
"10/12/2020","140.14","140.14","140.14","140.14","","0.05%"
"10/09/2020","140.07","140.07","140.07","140.07","","0.33%"
"10/08/2020","139.61","139.61","139.61","139.61","","-1.00%"
"10/07/2020","141.02","141.02","141.02","141.02","","0.93%"
"10/06/2020","139.72","139.72","139.72","139.72","","-0.43%"
"10/05/2020","140.33","140.33","140.33","140.33","","0.08%"
"10/02/2020","140.22","140.22","140.22","140.22","","0.24%"
"10/01/2020","139.88","139.88","139.88","139.88","","-0.01%"
"09/30/2020","139.89","139.89","139.89","139.89","","-0.08%"
"09/29/2020","140.00","140.00","140.00","140.00","","-0.06%"
"09/28/2020","140.09","140.09","140.09","140.09","","-0.20%"
"09/25/2020","140.37","140.37","140.37","140.37","","0.47%"
"09/24/2020","139.71","139.71","139.71","139.71","","0.06%"
"09/23/2020","139.63","139.63","139.63","139.63","","-0.10%"
"09/22/2020","139.77","139.77","139.77","139.77","","0.16%"
"09/21/2020","139.54","139.54","139.54","139.54","","-0.50%"
"09/18/2020","140.24","140.24","140.24","140.24","","0.31%"
"09/17/2020","139.80","139.80","139.80","139.80","","-0.60%"
"09/16/2020","140.65","140.65","140.65","140.65","","-0.28%"
"09/15/2020","141.04","141.04","141.04","141.04","","0.30%"
"09/14/2020","140.62","140.62","140.62","140.62","","-0.18%"
"09/11/2020","140.87","140.87","140.87","140.87","","0.42%"
"09/10/2020","140.28","140.28","140.28","140.28","","2.09%"
"09/09/2020","137.41","137.41","137.41","137.41","","0.35%"
"09/08/2020","136.93","136.93","136.93","136.93","","-0.47%"
"09/07/2020","137.58","137.58","137.58","137.58","","-1.21%"
"09/04/2020","139.27","139.27","139.27","139.27","","-1.40%"
"09/03/2020","141.25","141.25","141.25","141.25","","0.18%"
"09/02/2020","141.00","141.00","141.00","141.00","","0.53%"
"09/01/2020","140.26","140.26","140.26","140.26","","0.42%"
"08/31/2020","139.68","139.68","139.68","139.68","","0.68%"
"08/28/2020","138.74","138.74","138.74","138.74","","1.08%"
"08/27/2020","137.26","137.26","137.26","137.26","","1.49%"
"08/26/2020","135.24","135.24","135.24","135.24","","1.01%"
"08/25/2020","133.89","133.89","133.89","133.89","","1.03%"
"08/24/2020","132.52","132.52","132.52","132.52","","0.58%"
"08/21/2020","131.75","131.75","131.75","131.75","","0.14%"
"08/20/2020","131.56","131.56","131.56","131.56","","0.54%"
"08/19/2020","130.85","130.85","130.85","130.85","","0.26%"
"08/18/2020","130.51","130.51","130.51","130.51","","-0.68%"
"08/17/2020","131.40","131.40","131.40","131.40","","1.50%"
"08/14/2020","129.46","129.46","129.46","129.46","","-0.19%"
"08/13/2020","129.70","129.70","129.70","129.70","","-0.81%"
"08/12/2020","130.76","130.76","130.76","130.76","","1.18%"
