date,value
1994-06-06,542.9700
1994-06-07,529.7600
1994-06-08,533.5600
1994-06-09,523.0000
1994-06-10,514.5400
1994-06-13,492.0300
1994-06-14,490.7500
1994-06-15,496.1100
1994-06-16,506.3600
1994-06-17,527.8500
1994-06-20,502.4300
1994-06-21,498.0700
1994-06-22,505.1800
1994-06-23,500.3900
1994-06-24,492.3300
1994-06-27,472.1000
1994-06-28,469.9500
1994-06-29,468.2000
1994-06-30,469.2900
1994-07-01,458.3700
1994-07-04,438.5800
1994-07-05,443.6100
1994-07-06,431.7100
1994-07-07,425.9800
1994-07-08,437.7500
1994-07-11,428.1500
1994-07-12,429.2100
1994-07-13,437.6200
1994-07-14,431.8000
1994-07-15,413.9300
1994-07-18,398.9600
1994-07-19,400.4800
1994-07-20,393.8700
1994-07-21,380.9000
1994-07-22,363.7300
1994-07-25,375.3900
1994-07-26,388.7500
1994-07-27,371.1000
1994-07-28,339.8100
1994-07-29,333.9200
1994-08-01,445.6400
1994-08-02,432.6100
1994-08-03,522.9800
1994-08-04,562.7700
1994-08-05,683.0400
1994-08-08,711.8000
1994-08-09,621.5800
1994-08-10,739.6600
1994-08-11,689.3100
1994-08-12,689.6600
1994-08-15,665.8800
1994-08-16,693.0100
1994-08-17,725.0400
1994-08-18,748.5600
1994-08-19,713.8500
1994-08-22,681.8000
1994-08-23,714.6100
1994-08-24,705.7100
1994-08-25,722.2300
1994-08-26,707.4100
1994-08-29,710.6800
1994-08-30,756.2000
1994-08-31,785.3300
1994-09-01,790.1900
1994-09-02,830.1800
1994-09-05,940.6100
1994-09-06,1004.9200
1994-09-07,931.5700
1994-09-08,972.8400
1994-09-09,962.5200
1994-09-12,1019.9700
1994-09-13,1033.4700
1994-09-14,974.8600
1994-09-15,972.5400
1994-09-16,978.9900
1994-09-19,927.6200
1994-09-20,914.3900
1994-09-21,969.0300
1994-09-22,918.4400
1994-09-23,867.6500
1994-09-26,880.6000
1994-09-27,870.1500
1994-09-28,912.3800
1994-09-29,839.3700
1994-09-30,791.1500
1994-10-03,790.4800
1994-10-04,790.4800
1994-10-05,706.4200
1994-10-06,660.5000
1994-10-07,738.0300
1994-10-10,698.9300
1994-10-11,705.0700
1994-10-12,711.0100
1994-10-13,635.3800
1994-10-14,663.7500
1994-10-17,616.3400
1994-10-18,624.5200
1994-10-19,652.8900
1994-10-20,718.9900
1994-10-21,712.7100
1994-10-24,785.8500
1994-10-25,744.5200
1994-10-26,686.3100
1994-10-27,703.6200
1994-10-28,677.4500
1994-10-31,654.9800
1994-11-01,673.7900
1994-11-02,667.8600
1994-11-03,717.3600
1994-11-04,666.7700
1994-11-07,674.6700
1994-11-08,709.6900
1994-11-09,723.9100
1994-11-10,711.6800
1994-11-11,731.1600
1994-11-14,733.3900
1994-11-15,705.4300
1994-11-16,706.6300
1994-11-17,697.1700
1994-11-18,698.8100
1994-11-21,699.1000
1994-11-22,692.3900
1994-11-23,679.6100
1994-11-24,678.0200
1994-11-25,685.3300
1994-11-28,681.4900
1994-11-29,687.5600
1994-11-30,683.5900
1994-12-01,682.3000
1994-12-02,677.9100
1994-12-05,663.1300
1994-12-06,653.9800
1994-12-07,652.8500
1994-12-08,643.8600
1994-12-09,640.6700
1994-12-12,620.4700
1994-12-13,636.6800
1994-12-14,625.2100
1994-12-15,666.6800
1994-12-16,680.2300
1994-12-19,653.3700
1994-12-20,667.9400
1994-12-21,672.4700
1994-12-22,673.4800
1994-12-23,677.8400
1994-12-26,675.8800
1994-12-27,660.8800
1994-12-28,649.5900
1994-12-29,645.0600
1994-12-30,647.8700
1995-01-02,647.8600
1995-01-03,639.8800
1995-01-04,653.8100
1995-01-05,646.8900
1995-01-06,640.7600
1995-01-09,626.0000
1995-01-10,610.3000
1995-01-11,613.1300
1995-01-12,602.1200
1995-01-13,597.8400
1995-01-16,588.8100
1995-01-17,587.9400
1995-01-18,593.6400
1995-01-19,571.7200
1995-01-20,571.2400
1995-01-23,553.4400
1995-01-24,547.5700
1995-01-25,555.7700
1995-01-26,553.1100
1995-01-27,562.5900
1995-01-30,562.5800
1995-01-31,562.5800
1995-02-01,562.5800
1995-02-02,562.5800
1995-02-03,562.5800
1995-02-06,533.7200
1995-02-07,532.4900
1995-02-08,533.7500
1995-02-09,553.3600
1995-02-10,541.3800
1995-02-13,548.8400
1995-02-14,548.1100
1995-02-15,542.8400
1995-02-16,538.3700
1995-02-17,533.7600
1995-02-20,534.9600
1995-02-21,541.1400
1995-02-22,594.6400
1995-02-23,589.1300
1995-02-24,558.4300
1995-02-27,561.2700
1995-02-28,549.2600
1995-03-01,556.9600
1995-03-02,560.8500
1995-03-03,577.2200
1995-03-06,616.3000
1995-03-07,632.9600
1995-03-08,620.8100
1995-03-09,605.5900
1995-03-10,586.2900
1995-03-13,586.2300
1995-03-14,588.2400
1995-03-15,572.6000
1995-03-16,579.8800
1995-03-17,593.5200
1995-03-20,585.4500
1995-03-21,591.9500
1995-03-22,613.7000
1995-03-23,611.1300
1995-03-24,611.7700
1995-03-27,629.3600
